id,libdep,circo,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,actemp,actcho,inactret,age_moyen,libelle_commune,total_voix_par_ville,catégorie,nom,voix,pourcentage_voix,code_insee,insecurite,taux_chomage_moyen
400,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,POUTOU,9,0.46875,02028,0.0,10.375
401,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,DUPONT-AIGNAN,31,1.6145833333333335,02028,0.0,10.375
402,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,abstentions,469,24.427083333333332,02028,0.0,10.375
403,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,blancs,32,1.6666666666666667,02028,0.0,10.375
404,Aisne,02001,17.7,30.5,28.1,18.5,5.2,37.8,7.4,22.8,40.8,Athies-sous-Laon,1920,Petite moyenne ville,nuls,5,0.26041666666666663,02028,0.0,10.375
31485,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,ARTHAUD,3,0.36101083032490977,60666,0.0,7.375
31486,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,ROUSSEL,9,1.083032490974729,60666,0.0,7.375
31487,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,MACRON,163,19.614921780986762,60666,0.0,7.375
31488,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,LASSALLE,18,2.166064981949458,60666,0.0,7.375
31489,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,LE PEN,203,24.428399518652228,60666,0.0,7.375
31490,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,ZEMMOUR,71,8.543922984356197,60666,0.0,7.375
31491,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,MÉLENCHON,71,8.543922984356197,60666,0.0,7.375
31492,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,HIDALGO,3,0.36101083032490977,60666,0.0,7.375
31493,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,JADOT,28,3.369434416365824,60666,0.0,7.375
31494,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,PÉCRESSE,42,5.054151624548736,60666,0.0,7.375
31495,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,POUTOU,4,0.48134777376654636,60666,0.0,7.375
31496,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,DUPONT-AIGNAN,11,1.3237063778580023,60666,0.0,7.375
31497,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,abstentions,188,22.623345367027678,60666,0.0,7.375
31498,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,blancs,14,1.684717208182912,60666,0.0,7.375
31499,Oise,60004,7.5,18.3,24.8,31.7,17.7,45.2,5.1,20.0,40.4,Ver-sur-Launette,831,Petite ville,nuls,3,0.36101083032490977,60666,0.0,7.375
480,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,ARTHAUD,0,0.0,02034,0.0,10.375
481,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,ROUSSEL,1,1.1494252873563218,02034,0.0,10.375
482,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,MACRON,15,17.24137931034483,02034,0.0,10.375
483,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,LASSALLE,3,3.4482758620689653,02034,0.0,10.375
484,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,LE PEN,38,43.67816091954023,02034,0.0,10.375
